row,status,reason,occurredOn,type,amount,merchant,externalRef,notes
279,skipped,Duplicate reference (already imported or earlier in this file),2023-03-17,income,₹86.23,GOOGLE *SERVICES,307632194973,PCI/3519/GOOGLE *SERVICES/650-253- 00170323/15:35
395,skipped,Duplicate reference (already imported or earlier in this file),2023-05-17,income,₹84.83,DISCORD* TEMPORARYAUTH,313713852601,PCI/3519/DISCORD* TEMPORARYAUTH/SAN FR170523/18:39
396,skipped,Duplicate reference (already imported or earlier in this file),2023-05-17,income,₹84.83,DISCORD* TEMPORARYAUTH,313713852694,PCI/3519/DISCORD* TEMPORARYAUTH/SAN FR170523/18:39
399,skipped,Duplicate reference (already imported or earlier in this file),2023-05-17,income,₹84.83,DISCORD* TEMPORARYAUTH,313714477826,PCI/3519/DISCORD* TEMPORARYAUTH/SAN FR170523/20:22
400,skipped,Duplicate reference (already imported or earlier in this file),2023-05-17,income,₹84.83,DISCORD* TEMPORARYAUTH,313714046649,PCI/3519/DISCORD* TEMPORARYAUTH/SAN FR170523/20:22
914,skipped,Duplicate reference (already imported or earlier in this file),2024-03-22,income,"₹99,000.00","Cash Deposit at/BFABH272/NIT Faridabad, Fari",408208628071,"Cash Deposit at/BFABH272/NIT Faridabad, Fari"
915,skipped,Duplicate reference (already imported or earlier in this file),2024-03-22,expense,₹400.50,Chg: Charge for Deposit on 22-03-2024,408208628071,Chg: Charge for Deposit on 22-03-2024
1037,skipped,Duplicate reference (already imported or earlier in this file),2024-05-24,expense,₹32.40,Chg: GST Charge for Deposit on 24-05-2024,414508642699,Chg: GST Charge for Deposit on 24-05-2024
1038,skipped,Duplicate reference (already imported or earlier in this file),2024-05-24,income,"₹50,000.00","Cash Deposit at/BFABH272/NIT Faridabad, Fari",414508642699,"Cash Deposit at/BFABH272/NIT Faridabad, Fari"
1357,skipped,Duplicate reference (already imported or earlier in this file),2024-09-05,income,₹200.00,REV-UPI/ROSHAN RK VAS/424937178729/,UPI-424933641532,REV-UPI/ROSHAN RK VAS/424937178729/
1662,skipped,Duplicate reference (already imported or earlier in this file),2025-02-14,expense,₹34.20,Chg: GST Charge for Deposit on 14-02-2025,504507700080,Chg: GST Charge for Deposit on 14-02-2025
1663,skipped,Duplicate reference (already imported or earlier in this file),2025-02-14,income,"₹48,000.00","Cash Deposit at/BFABH272/NIT Faridabad, Fari",504507700080,"Cash Deposit at/BFABH272/NIT Faridabad, Fari"
1665,skipped,Duplicate reference (already imported or earlier in this file),2025-02-14,income,"₹1,500.00","Cash Deposit at/BFABH272/NIT Faridabad, Fari",504507700083,"Cash Deposit at/BFABH272/NIT Faridabad, Fari"
1666,skipped,Duplicate reference (already imported or earlier in this file),2025-02-14,expense,₹9.00,Chg: GST Charge for Deposit on 14-02-2025,504507700083,Chg: GST Charge for Deposit on 14-02-2025
1668,skipped,Duplicate reference (already imported or earlier in this file),2025-02-14,expense,₹9.00,Chg: GST Charge for Deposit on 14-02-2025,504507700085,Chg: GST Charge for Deposit on 14-02-2025
1669,skipped,Duplicate reference (already imported or earlier in this file),2025-02-14,income,₹500.00,"Cash Deposit at/BFABH272/NIT Faridabad, Fari",504507700085,"Cash Deposit at/BFABH272/NIT Faridabad, Fari"
1830,skipped,Duplicate reference (already imported or earlier in this file),2025-05-10,income,₹895.30,"GITHUB, INC.",513012815001,"PCI/3519/GITHUB, INC./+187744848100525/18:03"
