Index,Title,Tags,Type,Language,Seasons,Z0XM,Imtiyaz,Lights,Legend,DeadPoOl,AvgRating
1830,Bhavesh Joshi Superhero,"Life, Action, Fantasy, Crime, Thriller",Movie,Hindi,,♾️,,10,,7.5,♾️
1731,Godzilla - Minus One,"Drama, Life, Action, War",Movie,Japanese,,♾️,,♾️,,6.5,♾️
1687,Transformers One,"Adventure, Sci-Fi, Fantasy, Action",Movie,English,,♾️,♾️,9,,,♾️
1323,The Office,"Drama, Comedy",Series,English,9,♾️,,♾️,7,♾️,♾️
1322,FullMetal Alchemist : Brotherhood,"Drama, Adventure, Action, Fantasy, Classic",Animated Series,Japanese,1,♾️,,10,10,♾️,♾️
1321,Ben 10: Omniverse,"Comedy, Action, Fantasy, SuperPowers",Series,English,8,♾️,♾️,10,,,♾️
1320,Ben 10: Classic,"Comedy, Action, Fantasy, Classic, SuperPowers",Animated Series,English,4,♾️,10,10,,,♾️
1319,Ben 10: Alien Force,"Comedy, Action, Fantasy, SuperPowers",Animated Series,English,3,♾️,10,10,,,♾️
1288,Ben 10: Ultimate Alien,"Comedy, Action, Fantasy, SuperPowers",Animated Series,English,2,♾️,10,7,,,♾️
1256,The Sky Is Pink,"Drama, Life",Movie,English,,♾️,,10,,9,♾️
1255,Inside Out,"Drama, Comedy, Life, Different",Animated Movie,English,,♾️,10,10,♾️,7,♾️
1254,Inside Out 2,"Drama, Comedy, Life, Feel Good, Different",Animated Movie,English,,♾️,,10,♾️,8,♾️
1226,Goodbye,"Drama, Comedy",Movie,Hindi,,♾️,,9,,,♾️
1125,Doraemon: Steel Troops,"Comedy, Action, Sci-Fi, Thriller",Animated Movie,English,,♾️,♾️,8,,,♾️
966,Now You See Me,"Mystery, Different, Magic",Movie,English,,♾️,10,7,10,8,♾️
544,Mob Psycho 100,"Action, Fantasy",Animated Series,Japanese,3,♾️,,,9,8,♾️
364,Adventures of Tintin,"Drama, Comedy, Fantasy, Thriller, Mystery, Different",Movie,English,,♾️,♾️,,,,♾️
363,MegaMind,"Comedy, Action",Animated Movie,English,,♾️,9,,10,,♾️
1877,Metro In Dino,"Drama, Life, Romance, Feel Good, Comedy, Musical",Movie,Hindi,,10,,10,,,10
1855,Final Destination Bloodlines,"Comedy, Action, Fantasy, Thriller",Movie,English,,10,,6,,,8
1813,Parking,"Drama, Thriller, Life",Movie,Tamil,,10,,7,,6,7.67
1786,Karwaan,"Comedy, Drama, Life, Feel Good",Movie,Hindi,,10,,9,,,9.5
1774,Black Warrant,"Drama, Life, Crime, Mystery, Different",Series,Hindi,1,10,,,,8,9
1768,Udta Punjab,"Drama, Life, Different, Crime",Movie,Hindi,,10,,,,7.5,8.75
1679,Dan Da Dan,"Comedy, Action, Fantasy, Horror, Thriller, Gods & Demons, Magic, Drama",Animated Series,Japanese,2,10,♾️,9,,10,♾️
1477,Taarak Mehta ka Oolta Chasmah,"Drama, Comedy, Life, Romance, Feel Good",Series,Hindi,1,10,8.5,7.5,,,8.67
1385,Pagglait,"Drama, Life, Feel Good",Movie,Hindi,,10,9,,,,9.5
1317,Cosmos: A Spacetime Odyssey,"Sci-Fi, Thriller, Mystery, Documentary",Series,English,1,10,10,10,,,10
1307,Mouse,"Crime, Thriller, Mystery",Series,Korean,1,10,,8,,♾️,♾️
1286,Moon Knight,"Adventure, Action, Fantasy",Series,English,1,10,9.5,7,9,8,8.7
1267,Slumdog Millionaire,"Drama, Romance",Movie,English,,10,9,♾️,9,,♾️
1263,Your Name,"Drama, Romance, Fantasy, Different, Magic",Animated Movie,Japanese,,10,10,10,6,10,9.2
1262,Welcome,"Comedy, Romance",Movie,Hindi,,10,10,10,10,10,10
1261,October,"Drama, Romance",Movie,Hindi,,10,,10,,,10
1260,Heyy Babyy,"Drama, Comedy, Romance",Movie,Hindi,,10,10,10,9.5,,9.88
1259,Yeh Jawaani Hai Deewani,"Drama, Comedy, Romance",Movie,Hindi,,10,,10,9.5,,9.83
1258,Dil Dhadakne Do,"Drama, Comedy, Romance, Feel Good",Movie,Hindi,,10,4,10,,,8
1253,SpiderMan: Into The Spiderverse,"Adventure, Action, SuperPowers",Animated Movie,English,,10,10,10,,10,10
1252,3 Idiots,"Drama, Comedy, Life, Feel Good",Movie,Hindi,,10,10,10,9.5,10,9.9
1251,Taare Zameen Par,"Drama, Life, Feel Good",Movie,Hindi,,10,10,10,9.5,10,9.9
1250,Bhool Bhulaiya,"Comedy, Horror, Mystery",Movie,Hindi,,10,9,10,9,9,9.4
